,Label,candidate,Section Name,Section Number,Question Number,Column,Type of Variable,SAS Variable Name,Question Prologue,Question
0,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
1,File Month,n,Record Identification,0,8,17-18,Num,FMONTH,,File Month
2,Interview Date,n,Record Identification,0,9,19-26,Char,IDATE,,Interview Date
3,Interview Month,n,Record Identification,0,10,19-20,Char,IMONTH,,Interview Month
4,Interview Day,n,Record Identification,0,11,21-22,Char,IDAY,,Interview Day
5,Interview Year,n,Record Identification,0,12,23-26,Char,IYEAR,,Interview Year
6,Final Disposition,n,Record Identification,0,14,32-35,Num,DISPCODE,,Final Disposition
7,Annual Sequence Number,n,Record Identification,0,15,36-45,Char,SEQNO,,Annual Sequence Number
8,Primary Sampling Unit,n,Record Identification,0,16,36-45,Num,_PSU,,Primary Sampling Unit (Equal to Annual Sequence Number)
9,Correct telephone number?,n,Land Line Introduction,0,1,63,Num,CTELENM1,Variable only on the land line survey,Is this: (phone number): ?
10,Private Residence?,n,Land Line Introduction,0,2,64,Num,PVTRESD1,Variable only on the land line survey,"Is this a private residence?: [READ ONLY IF NECESSARY: ï¿½By private residence, we mean someplace like a house or apartment.ï¿½]"
11,Do you live in college housing?,n,Land Line Introduction,0,3,65,Num,COLGHOUS,Variable only on the land line survey,Do you live in college housing?
12,Resident of State,n,Land Line Introduction,0,4,66,Num,STATERE1,Variable only on the land line survey,Do you currently live in: ____(state)____?
13,Cellular Telephone,n,Land Line Introduction,0,5,67,Num,CELPHONE,Variable only on the land line survey,"Is this a cell telephone?: (Telephone service over the internet counts as landline service (includes Vonage, Magic Jack and other home-based phone services).)[Read only if necessary: ï¿½By cellular (or cell) telephone we mean a telephone that is mobile and usable outside of your neighborhood.ï¿½]"
14,Are you 18 years of age or older?,n,Land Line Introduction,0,6,68,Num,LADULT1,Variable only on the land line survey,Are you 18 years of age or older?
15,Are you male or female?,n,Land Line Introduction,0,7,69,Num,COLGSEX,,Are you male or female?
