,Label,candidate,Section Name,Section Number,Question Number,Column,Type of Variable,SAS Variable Name,Question Prologue,Question
0,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
1,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
2,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
3,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
4,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
5,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
6,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
7,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
8,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
9,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
10,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
11,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
12,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
13,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
14,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
15,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
16,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
17,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
18,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
19,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
20,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
21,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
22,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
23,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
24,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
25,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
26,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
27,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
28,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
29,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
30,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
31,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
32,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
33,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
34,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
35,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
36,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
37,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
38,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
39,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
40,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
41,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
42,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
43,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
44,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
45,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
46,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
47,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
48,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
49,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
50,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
51,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
52,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
53,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
54,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
55,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
56,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
57,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
58,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
59,State FIPS Code,n,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code
